Разработка моб. приложения;61;401;2021-01-10;2021-01-26
Запук коллцентра;61;401;2021-02-02;2021-02-12
Аудит информационной безопасности;61;401;2021-03-06;2021-03-25
Обслуживание 1С;61;401;2021-04-08;2021-04-22
Ребрендинг;61;401;2021-05-02;2021-05-16
Опрос покупателей;61;401;2021-06-09;2021-06-25
Ребрендинг;61;401;2021-07-02;2021-07-08
Разработка сайта;61;401;2021-08-04;2021-08-12
Опрос покупателей;61;401;2021-09-04;2021-09-16
Модернизация wifi-сети;61;401;2021-10-02;2021-10-08
Ребрендинг;61;401;2021-11-04;2021-11-11
Запук коллцентра;61;401;2021-12-07;2021-12-17
Опрос покупателей;61;402;2021-01-07;2021-01-12
Обслуживание 1С;61;402;2021-02-01;2021-02-20
Проведение исследований;61;402;2021-03-04;2021-03-17
Проведение исследований;61;402;2021-04-09;2021-04-20
Ребрендинг;61;402;2021-05-09;2021-05-16
Ребрендинг;61;402;2021-06-03;2021-06-15
Разработка сайта;61;402;2021-07-09;2021-07-28
Запук коллцентра;61;402;2021-08-05;2021-08-21
Разработка сайта;61;402;2021-09-04;2021-09-09
Разработка CRM;61;402;2021-10-09;2021-10-17
Запук коллцентра;61;402;2021-11-06;2021-11-21
Модернизация wifi-сети;61;402;2021-12-01;2021-12-07
Запук коллцентра;61;403;2021-01-10;2021-01-18
Дизайн сайта;61;403;2021-02-10;2021-02-23
Дизайн сайта;61;403;2021-03-07;2021-03-18
Разработка моб. приложения;61;403;2021-04-03;2021-04-17
Модернизация wifi-сети;61;403;2021-05-03;2021-05-17
Опрос покупателей;61;403;2021-06-08;2021-06-19
Модернизация wifi-сети;61;403;2021-07-04;2021-07-12
Аудит информационной безопасности;61;403;2021-08-01;2021-08-20
Проведение исследований;61;403;2021-09-09;2021-09-21
Запук коллцентра;61;403;2021-10-01;2021-10-19
Дизайн сайта;61;403;2021-11-04;2021-11-13
Проведение исследований;61;403;2021-12-08;2021-12-28
Разработка CRM;61;404;2021-01-08;2021-01-23
Модернизация wifi-сети;61;404;2021-02-09;2021-02-14
Модернизация wifi-сети;61;404;2021-03-03;2021-03-21
Ребрендинг;61;404;2021-04-05;2021-04-25
Модернизация wifi-сети;61;404;2021-05-01;2021-05-08
Разработка CRM;61;404;2021-06-06;2021-06-18
Аудит информационной безопасности;61;404;2021-07-03;2021-07-20
Разработка CRM;61;404;2021-08-02;2021-08-09
Запук коллцентра;61;404;2021-09-01;2021-09-19
Разработка CRM;61;404;2021-10-05;2021-10-19
Дизайн буклетов;61;404;2021-11-08;2021-11-20
Ребрендинг;61;404;2021-12-07;2021-12-15
Разработка моб. приложения;61;405;2021-01-04;2021-01-20
Аудит информационной безопасности;61;405;2021-02-03;2021-02-21
Ребрендинг;61;405;2021-03-01;2021-03-14
Модернизация wifi-сети;61;405;2021-04-06;2021-04-15
Опрос покупателей;61;405;2021-05-03;2021-05-18
Дизайн сайта;61;405;2021-06-04;2021-06-11
Разработка моб. приложения;61;405;2021-07-05;2021-07-14
Аудит информационной безопасности;61;405;2021-08-10;2021-08-15
Ребрендинг;61;405;2021-09-04;2021-09-15
Разработка CRM;61;405;2021-10-08;2021-10-14
Разработка моб. приложения;61;405;2021-11-03;2021-11-20
Дизайн буклетов;61;405;2021-12-07;2021-12-18
Опрос покупателей;61;406;2021-01-03;2021-01-19
Запук коллцентра;61;406;2021-02-08;2021-02-17
Проведение исследований;61;406;2021-03-08;2021-03-18
Дизайн буклетов;61;406;2021-04-07;2021-04-23
Ребрендинг;61;406;2021-05-01;2021-05-14
Разработка CRM;61;406;2021-06-06;2021-06-15
Обслуживание 1С;61;406;2021-07-08;2021-07-17
Ребрендинг;61;406;2021-08-03;2021-08-15
Разработка сайта;61;406;2021-09-08;2021-09-21
Аудит информационной безопасности;61;406;2021-10-04;2021-10-14
Проведение исследований;61;406;2021-11-07;2021-11-12
Запук коллцентра;61;406;2021-12-02;2021-12-16
Разработка CRM;61;407;2021-01-01;2021-01-11
Дизайн буклетов;61;407;2021-02-06;2021-02-14
Модернизация wifi-сети;61;407;2021-03-03;2021-03-19
Разработка CRM;61;407;2021-04-10;2021-04-24
Ребрендинг;61;407;2021-05-07;2021-05-20
Разработка сайта;61;407;2021-06-03;2021-06-14
Запук коллцентра;61;407;2021-07-06;2021-07-12
Модернизация wifi-сети;61;407;2021-08-03;2021-08-13
Ребрендинг;61;407;2021-09-04;2021-09-15
Дизайн буклетов;61;407;2021-10-10;2021-10-19
Модернизация wifi-сети;61;407;2021-11-09;2021-11-20
Ребрендинг;61;407;2021-12-05;2021-12-12
Дизайн сайта;61;408;2021-01-06;2021-01-25
Дизайн буклетов;61;408;2021-02-09;2021-03-01
Обучение сотрудников;61;408;2021-03-09;2021-03-20
Разработка моб. приложения;61;408;2021-04-09;2021-04-28
Разработка CRM;61;408;2021-05-10;2021-05-17
Разработка сайта;61;408;2021-06-02;2021-06-09
Аудит информационной безопасности;61;408;2021-07-09;2021-07-21
Ребрендинг;61;408;2021-08-10;2021-08-30
Проведение исследований;61;408;2021-09-07;2021-09-27
Разработка моб. приложения;61;408;2021-10-09;2021-10-15
Разработка сайта;61;408;2021-11-03;2021-11-22
Обучение сотрудников;61;408;2021-12-09;2021-12-24
Запук коллцентра;61;409;2021-01-04;2021-01-21
Модернизация wifi-сети;61;409;2021-02-05;2021-02-19
Разработка сайта;61;409;2021-03-01;2021-03-07
Дизайн сайта;61;409;2021-04-08;2021-04-13
Запук коллцентра;61;409;2021-05-05;2021-05-20
Проведение исследований;61;409;2021-06-10;2021-06-27
Аудит информационной безопасности;61;409;2021-07-03;2021-07-20
Дизайн буклетов;61;409;2021-08-01;2021-08-09
Обучение сотрудников;61;409;2021-09-08;2021-09-13
Дизайн буклетов;61;409;2021-10-06;2021-10-24
Обслуживание 1С;61;409;2021-11-06;2021-11-26
Аудит информационной безопасности;61;409;2021-12-07;2021-12-14
Разработка сайта;61;410;2021-01-10;2021-01-30
Опрос покупателей;61;410;2021-02-06;2021-02-26
Разработка сайта;61;410;2021-03-02;2021-03-08
Аудит информационной безопасности;61;410;2021-04-01;2021-04-13
Модернизация wifi-сети;61;410;2021-05-03;2021-05-14
Дизайн буклетов;61;410;2021-06-09;2021-06-23
Дизайн буклетов;61;410;2021-07-05;2021-07-17
Обслуживание 1С;61;410;2021-08-06;2021-08-24
Разработка CRM;61;410;2021-09-01;2021-09-10
Разработка сайта;61;410;2021-10-02;2021-10-21
Разработка моб. приложения;61;410;2021-11-08;2021-11-16
Обслуживание 1С;61;410;2021-12-01;2021-12-18
Разработка CRM;62;411;2021-01-01;2021-01-17
Запук коллцентра;62;411;2021-02-05;2021-02-19
Дизайн сайта;62;411;2021-03-01;2021-03-20
Разработка CRM;62;411;2021-04-01;2021-04-19
Ребрендинг;62;411;2021-05-07;2021-05-13
Обслуживание 1С;62;411;2021-06-10;2021-06-18
Дизайн сайта;62;411;2021-07-04;2021-07-09
Разработка сайта;62;411;2021-08-05;2021-08-21
Обслуживание 1С;62;411;2021-09-04;2021-09-19
Проведение исследований;62;411;2021-10-10;2021-10-17
Проведение исследований;62;411;2021-11-01;2021-11-06
Дизайн сайта;62;411;2021-12-01;2021-12-16
Разработка CRM;62;412;2021-01-01;2021-01-20
Дизайн буклетов;62;412;2021-02-01;2021-02-16
Запук коллцентра;62;412;2021-03-09;2021-03-27
Аудит информационной безопасности;62;412;2021-04-06;2021-04-25
Обучение сотрудников;62;412;2021-05-04;2021-05-22
Проведение исследований;62;412;2021-06-06;2021-06-14
Разработка моб. приложения;62;412;2021-07-07;2021-07-26
Аудит информационной безопасности;62;412;2021-08-01;2021-08-10
Обучение сотрудников;62;412;2021-09-06;2021-09-13
Опрос покупателей;62;412;2021-10-05;2021-10-11
Проведение исследований;62;412;2021-11-05;2021-11-16
Обучение сотрудников;62;412;2021-12-09;2021-12-21
Запук коллцентра;62;413;2021-01-08;2021-01-26
Разработка CRM;62;413;2021-02-10;2021-02-23
Разработка моб. приложения;62;413;2021-03-09;2021-03-14
Обслуживание 1С;62;413;2021-04-07;2021-04-18
Ребрендинг;62;413;2021-05-02;2021-05-12
Ребрендинг;62;413;2021-06-05;2021-06-23
Дизайн сайта;62;413;2021-07-09;2021-07-18
Опрос покупателей;62;413;2021-08-01;2021-08-14
Ребрендинг;62;413;2021-09-09;2021-09-24
Разработка сайта;62;413;2021-10-08;2021-10-25
Обучение сотрудников;62;413;2021-11-03;2021-11-23
Модернизация wifi-сети;62;413;2021-12-10;2021-12-15
Дизайн сайта;62;414;2021-01-07;2021-01-14
Опрос покупателей;62;414;2021-02-07;2021-02-24
Аудит информационной безопасности;62;414;2021-03-08;2021-03-26
Ребрендинг;62;414;2021-04-02;2021-04-11
Опрос покупателей;62;414;2021-05-08;2021-05-26
Аудит информационной безопасности;62;414;2021-06-01;2021-06-10
Дизайн сайта;62;414;2021-07-09;2021-07-18
Разработка сайта;62;414;2021-08-08;2021-08-21
Обслуживание 1С;62;414;2021-09-05;2021-09-15
Опрос покупателей;62;414;2021-10-02;2021-10-07
Разработка моб. приложения;62;414;2021-11-05;2021-11-20
Дизайн буклетов;62;414;2021-12-09;2021-12-22
Дизайн буклетов;62;415;2021-01-02;2021-01-16
Обучение сотрудников;62;415;2021-02-02;2021-02-17
Разработка CRM;62;415;2021-03-03;2021-03-22
Проведение исследований;62;415;2021-04-05;2021-04-25
